_id,amount,reasoning
6811b923af06ea2cad500bcd,N/A,N/A
6811b923af06ea2cad500bce,N/A,"17 U.S.C. § 504(b) (1982) provides that, in addition to actual damages suffered as a result of the infringement, the copyright owner is entitled to recover 'any profits of the infringer that are attributable to the infringement and are not taken into account in computing the actual damages."
6811b924af06ea2cad500bcf,3000,"Plaintiffs are awarded $750 per violation, for a total of $3,000."
6811b924af06ea2cad500bd0,1200,"The Court does, therefore, find and assess damages against the Defendant in the amount of $300 per infringement, for a total of Twelve Hundred Dollars ($1200)."
6811b926af06ea2cad500bd1,N/A,
6811b927af06ea2cad500bd2,N/A,N/A
6811b928af06ea2cad500bd3,397998,"Therefore, at least a sizeable (unapportioned) profit figure is not in dispute, and, as shown below, the undisputed profits, when properly apportioned and added to proven damages, yield a just and reasonable statutory damage award. Recognizing that neither party has proven the underpinnings of these calculations, the Court nonetheless determines that, with respect to the 1976 issues, a total of $ 397,998 represents a fair recovery which will amply compensate plaintiff for his losses (including the loss of $ 10,000 under the Cheri contract), strip defendant of its ill-gotten gains and discourage similar actions by defendant in the future."
6811b929af06ea2cad500bd4,4500,"Plaintiff Music City Music claims to be the copyright holder of ""I'd Just Love to Lay You Down"" written by Johnny McCray; plaintiff Milene Music, Inc., claims to be copyright holder of ""Blue Eyes Crying in the Rain"" written by Fred Rose; and plaintiff MCA, Inc. claims to be the copyright holder of ""Orange Blossom Special"" written by Ervin Thomas Rouse. Each plaintiff claims that defendant knowingly infringed upon these copyrights by publicly performing these works at Best Western Virginia Inn on 3 February 1984. ...the Court assesses statutory damages in the amount of $1500 per infringement."
6811b92baf06ea2cad500bd5,N/A,"Neither statutory damages, which the district court would ""have [had] no hesitation in awarding,"" 574 F. Supp. at 403, nor attorney's fees pursuant to section 505, are available here because, as the parties agree, Deltak did not so register its copyright."
6811b92baf06ea2cad500bd6,50000,"That judgment was entered against the Defendant for copyright infringement in the ""sum of FIFTY THOUSAND DOLLARS [sic] AND NO/100 ($50,000.00), pursuant to 17 U.S.C.A. Section 504(2) [sic] plus the sum of SIXTEEN THOUSAND FIVE HUNDRED DOLLARS AND NO/100 ($16,500.00) pursuant to 17 U.S.C.A. Section 505"" plus statutory interest."" ""Section 504(a)(2) is the statutory damage section."
6811b92caf06ea2cad500bd7,N/A,Plaintiff seeks to recover the greater of its actual damages plus defendant's profits pursuant to section 504(b) or statutory damages pursuant to section 504(c).
6811b92caf06ea2cad500bd8,N/A,
6811b92faf06ea2cad500bd9,1044000,"...in awarding $1,044,000 in statutory damages,..."
6811b92faf06ea2cad500bda,N/A,N/A
6811b930af06ea2cad500bdb,2250,"The defendants have therefore failed to set forth any specific facts showing that here is a genuine issue for trial, and the plaintiff is entitled to summary judgment on each of its nine claims. While the Court believes that the defendants did not wilfully infringe, their direct participation in the infringing activities leads the Court to conclude that they have not sustained their burden of proving that they did not have any reason to believe that their acts constituted infringement, and the Court will assess statutory damages at $250.00 per infringement pursuant to 17 U.S.C §504(c)(1)."
6811b931af06ea2cad500bdc,750,"Accordingly, it is ORDERED that the Clerk shall enter judgment for plaintiff for $ 750.00 statutory damages, costs and attorney's fees."
6811b931af06ea2cad500bdd,100000,"Judgment is hereby entered in favor of the plaintiff and against Hasley's, Inc., Michael G Hasley and Linda J. Hasley, jointly and severally, in the sum of One Hundred Thousand Dollars ($100,000.00) as and for statutory damages."
6811b932af06ea2cad500bde,N/A,"We must REMAND the case, nevertheless, solely for a determination of the proper amount of statutory damages to be awarded plaintiffs pursuant to the Copyrights Act, 17 U.S.C. § 504(c)."
6811b932af06ea2cad500bdf,3000,"IT IS THEREFORE ORDERED that judgment be, and hereby is, entered against the defendant for three thousand dollars ($3,000.00) in statutory damages for the copyright infringements which took place on August 25th and 26th, 1983, for six hundred, nine dollars and thirty-one cents ($609.31) in costs, and for nine thousand, two hundred and eighty-four dollars ($9,284.00) in attorney's fees."
6811b932af06ea2cad500be0,2500,"Plaintiffs are entitled to an award of damages of $ 500.00 for each of the five infringements proved, for total damages of $ 2,500.00."
6811b933af06ea2cad500be1,5000,"...awarded plaintiff $5,000.00 in statutory damages."
6811b935af06ea2cad500be2,N/A,"Because the books were protected under the 1976 Act, the Board was entitled to statutory damages under 17 U.S.C. § 504 (1982) unless Supermarket could raise an affirmative defense."
6811b935af06ea2cad500be3,7000,"After a complete review of the record, this Court is of the opinion that plaintiffs shall be awarded $ 1,000.00 for each infringement, for a total amount of $ 7,000.00. As stated earlier, the defendants shall be jointly and severally liable for said statutory damages."
6811b935af06ea2cad500be4,7500,plaintiffs' request of $1500 for each of five infringements is within reasonable limits and will be granted.
6811b936af06ea2cad500be5,1500,That the plaintiff recover of and from the defendant the sum of $ 1500 statutory damages.
6811b937af06ea2cad500be6,20000,"In light of all of these circumstances, the court has determined that $ 20,000 is the proper award of damages in this case."
6811b938af06ea2cad500be7,N/A,N/A
6811b939af06ea2cad500be8,22500,"Warner is entitled to $20,000 in statutory damages for wilful infringement of its copyright and $15,408.67 in costs and attorneys' fees against H. Bros. in 85 Civ. 977 (CSH). In addition, Warner is entitled to $2,500 in statutory damages for wilful infringement of its copyright and $11,342.54 in costs and attorneys' fees against defendant Multinational Products Corp. in 84 Civ. 4681 (CSH)."
6811b93baf06ea2cad500be9,550000,"Thus, the damages awarded Fitzgerald against Baylor were statutory damages of $550,000 and actual damages of $886.50; against World Color the awards were statutory damages of $22,000, actual damages of $27,948.14 and $12,500 in attorney's fees."
6811b93baf06ea2cad500bea,31000,"For the following reasons,    the preliminary injunction is made permanent; Vector shall destroy the accused products; and plaintiff is awarded statutory damages and attorneys fees."" ""Accordingly, Vector is ordered to pay W.O.W. thirty thousand dollars ($ 30,000.00) and its cost and attorneys fees."" ""Additionally, it shall pay W.O.W. one thousand dollars ($ 1,000.00), that is two hundred fifty dollars ($ 250.00) for each act of infringement."
6811b93daf06ea2cad500beb,N/A,"...an award of statutory damages . . . in a sum of not less than $ 250 or more than $ 10,000..."" ""...may increase the award of statutory damages to a sum of not more than $ 50,000."
6811b93eaf06ea2cad500bec,13000,"ORDERED AND ADJUDGED that   the Plaintiff recover of and from the Defendant, Pine Belt Investment Developers, Inc., d/b/a Studebaker's, infringement damages of One Thousand and NO/100 Dollars ($1,000.00) for each of the thirteen (13) infringements complained of, for a total of Thirteen Thousand and NO/100 Dollars ($13,000.00)."
6811b940af06ea2cad500bed,N/A,N/A
6811b940af06ea2cad500bee,N/A,In this case Jones seeks its actual damages attributable to defendants' activities after the date on which the copyrights were registered.
6811b941af06ea2cad500bef,N/A,"The Court, pursuant to 17 U.S.C. § 504, awards the plaintiff damages for copyright infringement in the amount of $ 2130.00."
6811b941af06ea2cad500bf0,50000,"As defendants have been found to be intentional infringers, the court has discretion to award statutory damages in an amount not to exceed $ 50,000. 17 U.S.C. § 504(c) (2). We find that an award of damages in this amount is appropriate considering the thousands of tests admittedly copied by defendants over a nine-year period."
6811b942af06ea2cad500bf1,3750,"The Court has considered all the evidence presented and finds that damages should be assessed at $ 750 per infringement, for a total damages award for the five acts of infringement of $ 3,750."
6811b953af06ea2cad500bf2,N/A,N/A
6811b95baf06ea2cad500bf3,N/A,N/A
6811b95eaf06ea2cad500bf4,100000,"NOW, THEREFORE, IT IS ORDERED that plaintiffs recover from the defendants the statutory sum of $ 50,000 on count I of the complaint as to the T.A.  Survey; IT IS FURTHER ORDERED that plaintiffs recover from the defendants the statutory sum of $ 50,000 on count I of the complaint as to the E.S.  Survey;"
6811b964af06ea2cad500bf5,N/A,N/A
6811b966af06ea2cad500bf6,15000,"Plaintiff seeks statutory damages in the amount of $ 15,000 ($ 3,000 per each infringement), a permanent injunction and attorneys' fees and costs."
6811b979af06ea2cad500bf7,N/A,N/A
6812612daf06ea2cad501739,6000,"This is a suit for copyright infringement concerning two musical compositions. Plaintiffs have requested statutory damages in the amount of $ 3,000 per infringement."
6812612eaf06ea2cad50173a,13500,"Plaintiff seeks statutory damages of $ 1,500 per infringing act, or a total $ 13,500 for the nine infringing acts proven. The Court therefore awards Plaintiff $ 1,500 for each of the nine infringements it has established."
6812612eaf06ea2cad50173b,N/A,The Court will award statutory damages as follows:
6812612faf06ea2cad50173d,21000,"Plaintiffs contend    that an award of $ 3,000.00 per infringement, for a total award of $ 21,000.00 in statutory damages, is an appropriate and reasonable award considering the willfullness of defendant's actions. Therefore, where the defendant's infringement is clearly willful as was Mr. Williams', the sum of $ 3,000.00 per infringement, or a total award of $ 21,000.00, is reasonable under 17 U.S.C. § 504(c)(2)."
68126131af06ea2cad50173e,3500,"Thus, the basic award must be that number times $ 250, or $ 3,500.00."
68126131af06ea2cad50173f,2500,"Under the circumstances of this case, Precision Tune will be awarded statutory damages of $250 for each of the ten infringements by Kennedy for a total award of $2,500."
68126131af06ea2cad501740,N/A,"The defendant seemed originally to be seeking only statutory damages pursuant to 17 U.S.C. § 504, increased for willful infringement pursuant to subsection (c)(2)."
68126134af06ea2cad501741,100,"There will be judgment in favor of plaintiff Warner against defendant Dae Rim in the sum of $ 100 as statutory damages for past infringement of Warner's Registered Copyright VAu 54-952 (""Gizmo"")."
68126137af06ea2cad501743,N/A,N/A
68126138af06ea2cad501744,N/A,N/A
68126138af06ea2cad501745,7500,"In considering appropriate relief, the magistrate recognized that RCA had elected to recover statutory, rather than actual, damages. He recommended statutory damages against Metacom and McCann of $ 5,000. He recommended the retailers be held jointly and severally liable in a total sum of $ 2,500."
68126139af06ea2cad501746,22000,"11. Plaintiffs are entitled to statutory damages in the total amount of $ 22,000.00."
68126139af06ea2cad501747,200000,"The Magistrate's report and recommendation awards $ 200,000 in statutory damages on Marina B's copyright claim, $ 474,000 in trebled compensatory damages on plaintiffs' patent claims, $ 234,150.00 in compensatory damages on plaintiffs' Lanham Act claim, $ 100 on their common law unfair competition claim, $ 100,000 in punitive damages on their common law unfair competition claim, $ 28,412 in prejudgment interest on the patent claim, $ 60,000 in attorney's fees, and costs in a sum to be taxed by the Clerk of the Court."
6812613aaf06ea2cad501748,N/A,
6812613aaf06ea2cad501749,N/A,N/A
6812613baf06ea2cad50174a,N/A,Vane elected to seek actual damages and profits.
68126140af06ea2cad50174b,N/A,The copyright owner may also recover damages for his losses (including statutory damages) as well as appropriate portions of the infringer's profits.
68126148af06ea2cad50174c,10500,"The court then awarded statutory damages, in lieu of actual damages, at the plaintiffs' request. The court enjoined Mr. Kowalczyk from further performances of those compositions without a license, imposed a fine of $10,500 ($1,500 for each infringement), awarded attorney's fees to the plaintiffs in the amount of $21,502.75, and assessed costs at $1,693.88."
6812614eaf06ea2cad50174d,N/A,N/A
68126157af06ea2cad50174e,N/A,"Accordingly, statutory damages and attorney fees, authorized under 17 U.S.C. § 504(c), are not available to the plaintiff because the copyright in question was not registered within three months of the publication date of the work claimed to be infringed."
6812615eaf06ea2cad50174f,3000,"On balance, the Court awards $ 1,500 per infringement, or $ 3,000 in toto,  [***1051]  an amount that modestly exceeds the licensing fee and plaintiffs' investigative expenses."
68126163af06ea2cad501750,N/A,"Plaintiff demands an injunction barring further distribution of the defendant's [***1221] lamps, and seeks damages pursuant to 17 U.S.C. § 504(b) consisting of its actual damages and Alsy's profits, as well as costs and attorneys' fees pursuant to 17 U.S.C. § 505. Plaintiff will be awarded its lost profits and defendant's profits as to the floor lamps, and a reasonable attorney's fee, in a further order to be issued after submission of appropriate proof."
68126164af06ea2cad501751,90000,"Each of these is subject to damages to be assessed pursuant to 17 U.S.C. § 504(c)(2). The Court assesses $ 15,000 for each violation, or $ 90,000, plus interest from the date of judgment."
6812616baf06ea2cad501752,N/A,N/A
68126171af06ea2cad501753,20000,"Given the $ 15,000.00 figure plus Defendants' conduct both prior and subsequent to the 1987 license revocation, but mindful of the fact that injunctive relief has been granted and that no decisions relied upon by Plaintiffs support a damage award of $ 3,000.00 per infringement, the court finds that an award of $ 2,500.00 per infringement for a total of $ 20,000.00 should be sufficient to serve as a deterrent to Defendants' future infringing conduct."
68126183af06ea2cad501754,N/A,N/A
68126184af06ea2cad501755,N/A,N/A
68126188af06ea2cad501756,N/A,Plaintiff concedes that it is not entitled to statutory damages or attorney's fees under the Copyright Act because the infringement occurred prior to the copyright registration.
6812618baf06ea2cad501757,4000,"(1) Statutory damages in the amount of $ 500.00 for each of the eight (8) copyright infringements for a total of   $ 4,000 plus post judgment interest in accord with 28 U.S.C. § 1961;"
6812618baf06ea2cad501758,3000,"Damages in the amount of $ 3,000.00, and attorneys' fees in the amount of $ 3244.00, plus costs."
6812618faf06ea2cad501759,N/A,"The court awarded statutory damages of $30,000 for each violation, since actual damages were not determinable."
681261a3af06ea2cad50175a,N/A,N/A
681261afaf06ea2cad50175b,N/A,"In addition, the plaintiff is entitled to statutory damages between $ 250 and $ 50,000 under 17 U.S.C. § 504(c);"
681261b6af06ea2cad50175c,8000,"Therefore, this Court concludes that statutory damages of $ 2,000 per infringement, for a total of $ 8,000, is warranted here."
681261c3af06ea2cad50175d,100,Judge Wyatt took all of these factors into consideration and did not abuse his discretion in limiting Warner's award to $ 100.  17 U.S.C. § 504(c)(2).
681261caaf06ea2cad50175e,N/A,"Therefore, plaintiff is not entitled to recover statutory damages or attorneys' fees for the infringement of its COSTIMATOR copyrights."
681261caaf06ea2cad50175f,2500,1) plaintiff is awarded statutory damages of $ 2500.00;
681261d3af06ea2cad501760,10000,"In the present case, after considering all the evidence presented, the court finds that damages should be assessed at $ 1,000 per infringement, for a total damages award of $ 10,000."
681261d5af06ea2cad501761,N/A,
681261e0af06ea2cad501762,N/A,"Thus, statutory damages are not appropriate in the case of either defendant."
681261e2af06ea2cad501763,2000,"The court determined that NMAS had suffered no actual damages but found Kolb liable for statutory damages of $2,000 under 17 U.S.C. § 504(c)(2)."
681261ebaf06ea2cad501764,N/A,N/A
681261f2af06ea2cad501765,0,"Because BTA registered its copyright only after the infringement, it was limited to a damage award for its losses or TFG's profits and was not entitled to statutory damages."
6812620caf06ea2cad501766,100,"If the infringer proves that the infringement was committed unknowingly and innocently, the court has discretion to award the copyright owner as little as $ 100 under the statutory damages scheme."
6812621aaf06ea2cad501767,N/A,"The Copyright Act does, however, provide for statutory damages and the amount a court may award under section 504 falls within a range from $ 200 to $ 100,000."
68126220af06ea2cad501768,5000,"Instead, I will award damages in favor of plaintiffs in the amount of $ 1,000 per act of infringement for a total of $ 5,000 in statutory damages."
68126223af06ea2cad501769,90000,"The Court assesses $ 15,000 for each violation, or $ 90,000, plus interest from the date of judgment."
68126227af06ea2cad50176a,N/A,"Plaintiffs further aver that since defendants' profits at $.30 per yard for 31,000 yards were $ 9,300 and since plaintiffs' loss of profits, computed at $.43 per yard is $ 13,330, plaintiffs are entitled to recover from defendants the total amount of $ 22,630, excluding any claim for statutory damages and attorney fees."
68126229af06ea2cad50176b,6000,"...for a total of $ 6,000)..."
68126233af06ea2cad50176c,26000,"With respect to Blue Moon and the Dag[u]ls, I believe based on the record and the circumstances of this case that a statutory damages award in the amount of $ 25,000.00 would be proper. Accordingly, I will treat plaintiffs' request for $ 1,000.00 as an election of statutory damages against the Hakimis and H & S (see Plaintiffs' Affirmation at p. 8, para. D)."
68126236af06ea2cad50176d,N/A,
68126260af06ea2cad50176e,130000,"The district court's final judgment and decree of permanent injunction awarded plaintiffs statutory damages of $ 20,000.00 against defendants Kenny, Network   and Cooper based on their willful, direct and contributory copyright infringements and for-profit violations of the communications laws. The district court also awarded plaintiffs additional statutory damages against Kenny and Network for their separate willful, for-profit communications violations. While an explanation would have been helpful, we cannot say that the joint and several award of $ 20,000.00 against Kenny, Network and Cooper for willful, direct and contributory copyright infringements and for- profit communications violations as well as the $ 110,000.00 award against Kenny and Network for separate willful, for-profit communications violations are outside the statutory limitations under various combinations of the number of infringements and communications violations multiplied by the court's assigned values under the respective statutes."
68126265af06ea2cad50176f,N/A,"Because BTA did not register its copyright before TPG published its study, it could not recover statutory damages."
68126269af06ea2cad501770,307500,"As the court has no evidence before it concerning profits obtained by Koritech or losses incurred by Dae Han as a result of the infringements, the court will award the statutory minimum of $ 500 for each of the 615 infringements committed by Koritech, resulting in a total award of $ 307,500."
6812626daf06ea2cad501771,12000,"Plaintiffs, members of the American Society of Composers, Authors and Publishers (""ASCAP"") filed the present copyright action under 17 U.S.C. §§ 1 et seq. alleging eight causes of action for copyright infringement against defendants Barwein, Ltd., Janusz Rutkowski, and Halina Rutkowski based on unauthorized public performances of copyrighted musical compositions at the Sweet Cherry Resort in Berrien County, Michigan."" ""The Court finds that the amount awarded per infringement in this case, $ 1500, is not only reasonable but also is in line with similar cases."
68126273af06ea2cad501772,231000,"Illinois Bell opted for statutory damages and the district court considered an award of $ 8,250 for each infringement to be just to ensure that Haines 'did not profit from violating the copyright laws, and to discourage future violations.' The court then determined there were 28 acts of infringement and ordered a total damage award of $ 231,000."
6812627baf06ea2cad501773,N/A,N/A
68126280af06ea2cad501774,1000,"Plaintiffs in this case have elected to seek statutory damages, rather than to prove actual damages. Therefore, this Court will grant the plaintiffs $ 500.00 in damages for each of the defendants' two violations."
68126282af06ea2cad501775,N/A,N/A
6812628aaf06ea2cad501776,1500,"IT IS FURTHER ORDERED that plaintiffs are entitled to statutory damages under 17 U.S.C. § 504 in the amount of $ 1,500.00."
6812628faf06ea2cad501777,4000000,...the award of $ 4 million in statutory damages.
68126294af06ea2cad501778,N/A,"Since the burden of proving an innocent infringement is on the defendant, id., and the district court did not and could not make any finding of innocence concerning the defendants who failed to appear, the judgment against each defaulting defendant in docket number 89-9264 must be modified to increase the award of statutory damages to $ 500, which is all that Warner seeks."
6812629aaf06ea2cad501779,N/A,N/A
6812629daf06ea2cad50177a,20500,"Defendant WTD is liable to Disney for $ 10,000 in statutory damages, while the remaining seven other defendants are liable for statutory damages of $ 1,500 each."
681262a2af06ea2cad50177b,5000,"Therefore, judgment for statutory damages in the amount of $ 5,000.00 will be awarded to Reebok and against Jemmett."
681262a6af06ea2cad50177c,8500,"Having considered the nature of the infringement and defendants' repeated failure to respond to the warnings by plaintiff, this Court shall award damages in the amount of $ 500 for each of the seventeen proven copyright infringements."
681262c1af06ea2cad50177e,N/A,
681262eeaf06ea2cad501781,10000,"After a six-day trial, the jury returned a verdict finding that Studio 21 had willfully infringed Video Views' copyrights in two of the seven adult films involved in the action. The district court granted Studio 21's motion for a judgment notwithstanding the verdict on the issue of willfulness, but awarded Video Views statutory damages in the amount of $ 5,000 for each infringement."
